SPRINGBOK SCAFFOLDING AND AMP; PLANT HIRE;113157218;splant@telkomsa.net
MATPRO CC;219058011;uys@matpro.co.za;
EXPEP-TECH CONSTRUCTION;825014594;;
ALLSTRUCT CIVILS & BUILDING CONSTRUCTION;475323068;;
VHELA BUIDLING CONSTRUCTION;184761635;;
COLBYCON CONSTRUCTION CC;116981827;;
BATALALA CONSTRUCTION CC;113263880;;
ROBURN CONSTRUCTION II TRUST;538323215;;
SKHYTSELE TRADING CC;137533166;;
DREAM HOME DEVELOPMENTS;187884952;;
DOD CONTRACTORS (PTY) LTD;114631222;;
HLANHLANDELA BUILDING CONSTRUCTION;136551429;msimango.a@webmail.co.za;
IRON MAN INDUSTRIES (PTY) LTD;833200155;reynolds.sasna@yahoo.com;
FORCE FIVE CONSTRUCTION;217861149;;
RORISANG HOLDINGS (PTY) LTD;113941427;;
AFRICA PLANT.COM;325863161;;
PHETUGO CONSALTING;604024356;;
CONSTRUCTION INDUSTRY DEVELOPMENT BOARD;514484903;;
HYDROMAR INTERNATIONAL (SA) (PTY) LTD;215062900;;
ROADBULL CONSTRUCTION SA (PTY) LTD;838601189;;
ERWIN PROJEKTE;840397822;oskarmarks5@gmail.com;
NEW IMAGE BUSINESS INTERIORS;823386182;sales@newimagebusinessinteriors.co.za;
S K K RETAIL & BUILDING MAINTENANCE;114777536;;
ARMCO;514320707;tpotgieter@armco.co.za;
MILLER PROJECT (PTY) LTD;739149909;millerprojectstrading@gmail.com;
WINTERTON STRUCTURAL STEEL (WSS);825723966;wssadmin@lantic.net;
BORNFIRE TRADING PROJECTS;717480761;bornfiretradingproject@webmail.co.za;
CONSTRUCTION INDUSTRY DEVELOPMENT BOARD;514484903;;
HYDROMAR INTERNATIONAL (SA) (PTY) LTD;215062900;;
ROADBULL CONSTRUCTION SA (PTY) LTD;838601189;;
ERWIN PROJEKTE;840397822;oskarmarks5@gmail.com;
PAUL ELECTRICAL;116142843;;
TORO YA AFRICA;145927167;rustenburg@toroyaafrica.com;
LAVENDER MOON;215349631;rylandsali@gmail.com;
CELTIS PROJECTS;826357088;herman@celtisandscaping.co.za;
KUSENI PLANT HIRE;716702418;admin@kuseni.com;
HOUTMAN PETER CONSTRUCTION;415859665;phoutman@mweb.co.za;
POOLS INCORPORATED;113952353;sales@poolsincorporated.co.za;
HD WALSH CONSTRUCTION CC;118882286;;
GIURICICH BROTHER (PTY) LTD;118233658;;
LUSASA CONSTRUCTION (PTY) LTD;285141197;;
BIRD CONSTRUCTION (PTY) LTD;128037140;;
SHUMA CONSTRUCTION CC;137528358;;
INKANYAMBA PARAMOUNT CONSTRUCTION & PROJECTS;116140701;;
MASOBUKAL CONSTRUCTION CC;727079065;;
WBHO CONSTRUCTION (PTY) LTD;115110254;;
PRORAFT;834090143;;
RENTTECH SA;136973450;;
MR MAC CONSTRUCTION & PROJECTS;826949751;;
B L C PLANT CO (PTY) LTD;117867257;marsayt@icon.co.za;
SHEKINA CONSTRUCTIONS CC;446203824;;
SHABARANKS CONSTRUCTION;749784928;;
NEL MAHLANGU CONSTRUCTORS CC;406350013;;
WOLLER CONSTRUCTION;119543874;;
ROY BOWLES CONSTRUCTION;466242418;;
DREMAN CONSTRUCTION;127706931;;
BRIGGS & STRATTON;153073625;;
VUMA CONSTRUCTION CC;169322495;;
MOVING FORWARD TRADING & PROJECTS;123433443;;
LUNGILE GENERAL TRADING (PTY) LTD;824047574;;
FORCE FIVE CONSTRUCTION;217861149;;
RORISANG HOLDINGS (PTY) LTD;113941427;;
AFRICA PLANT.COM;325863161;;
DREAM HOME DEVELOPMENTS;187884952;;
DOD CONTRACTORS (PTY) LTD;114631222;;
HLANHLANDELA BUILDING CONSTRUCTION;136551429;msimango.a@webmail.co.za;
IRON MAN INDUSTRIES (PTY) LTD;833200155;reynolds.sasna@yahoo.com;
CEDAR TOOL HIRE;117942999;;
BOBCAT EQUIPMENT SA;357511511;;
NOSI SOWING & CONSTRUCTION;164511206;nosisowing@yahoo.com;
SIBALANDELE TRADING & PROJECTS CC;177141366;queen2@telkomsa.net;
MAKAPELA PROJECT MANAGERS (PTY) LTD;415013400;malibongwem@makapela.co.za;
BASADI TOGETHER CONSTRUCTION;118651757;basadi2getha@mweb.co.za;
VITFIT;117406184;janhendrik@vantagecon.co.za;
MTB ELECTRICAL;219020087;mtbelectrical@gmail.com;
HYDREX CONSTRUCTION;110347400;sales@hydrex.co.za;
LAFARGE GYPSUM (PTY) LTD;113894500;lumkatlou@lafarge.com;
PLUMB GUARANTEE (SOUTH CAPE);448740166;scape@plumbguarantee.co.za;
KGABO DEVELOPERS CC;152234808;admin@kgabodevelopers.co.za;
PHOLANI ASIYA TRADING & PROJECTS CC;446931842;mwnguta@gmail.com;
WESVOS ENGINEERING;227142688;admin@wesvos.co.za;
KRIEL PLUMBING & RENOVATIONS;219193104;;
WIA CONSTRUCTION;214476222;kgnzm@yahoo.com;
AMATHENDLOVU CONSTRUCTION;355507920;kunani4zn@gmail.com;
TARMAC BITUMEN SURFACES;836890022;tarmacbutimen@live.co.za;
IKHAMPASI CONSTRUCTION CC;217039497;ikhampasi@gmail.com;
DEMIX;118495705;amanzi.inyathi@gmail.co.za;
SUPER NU-NEXT PROJECTS CONSTRUCTION DEVELOPERS CC;114322302;;
MEYER KONSTRUKSIE;514369356;;
ERBACON ROAD & EARTHWORKS CONSTRUCTION;126619932;;
KPMM ROAD & EARTH WORKS;152932391;;
GIJIMAAST HOLDINGS (PTY) LTD;118310520;;
FRAMETECH;711856262;;
PENNY FARTHING (PTY) LTD;498460464;;
VUKO MAINTENANCE;448741422;vuko.maintenances@gmail.com;
BOUKON 20000;123290853;;
WESCO CONSTRUCTION;132461214;;
JORIS IDE SA STEEL (PTY) LTD;123799888;;
G & S ENGINEERING;315793328;;
CITY CONSTRUCTION;573553007;;
ILINGO CC;419226586;;
SUPERWAY CONSTRUCTION (PTY) LTD;488812169;;
MULTI SPEC TASKING CC;114221856;rssolutions@iburst.co.za;
THABA NCHU MINING & CONSTRUCTION (11);157815639;;
JOE'S NUMBER PLATES & TYRES;317851077;;
ALAN HOME IMPROVEMENTS GENERAL MAINTENANCE;836816468;;
MOSES GENERAL BUILDERS;721362634;;
MAXIPREST TYRES & EXHAUSTS;314612390;;
LEWMAK CIVILS CC;125611578;lewis@pinweb.co.za;
LEISURE ZONE LANDSCAPES;794936911;ricki.leisurezone@gmail.com;
ACIER SHEET METAL WORKS CC;118457547;info@acier.co.za;
HARVEY TILE ROOFING CONTRACTORS;828960601;;
ARMAND CONSTRUCTION PROJECTS CC;118943375;armandd@arconpro.co.za;
GOLD FIELDS LTD;115629700;goldfields@tip-offs.com;
CAPE TOWN PARTNERSHIP;214191881;info@capetownpartnership.co.za;
JEL-POWER TRADING;784473061;jelpowertp@gmail.com;
GIBB ENGINEERING & ARCHITECTURE;514471711;cdjager@gibb.co.za;
EBERHARDT MARTIN CC;219054002;latief@ebm.co.za;
MUFASA PALE;147366298;;
CODEE ENGINEERING CONVEYORS CC;118273155;;
GENESIS CONSTRUCTION;115525960;;
MITTON & KNIPE CONSTRUCTION;176311402;;
MPHILISI CONSTRUCTION;317820099;william.mphilisi@gmail.com;
CREATIVE SIGNAGH;746724297;;
PRINMOR CONSTRUCTION CC;125477649;;
DEVELOPERS WAREHOUSE;219826204;;
MATHOTSI BUSINESS ENTERPRISE;132354288;;
LOUIS NELL PLANT HIRE;825603154;;
SAMPRA CONSTRUCTION & ARCHITECTURAL CC;119260102;;
VITAL STEEL PROJECTS CC;119141868;;
SOMNGANI CONSTRUCTION;357511340;;
C O ENGINEERING CC;147633052;;
KETAPELE ENGINEERING;118370136;;
J BURROW SA (PTY) LTD;113023300;;
MEG CONSTRUCTION (PTY) LTD;118807686;;
ATLAS COPCO SA (PTY) LTD;317004709;;
AUDIO STEEL & ENGINEERING;154915338;;
LIKOTSI PHOKA TRADING ENTERPRISE;734292954;phokau@gmail.com;
BIDVEST AFCOM;116277000;info@bidvestafcom.co.za;
DEEPLAUL'S TRANSPORT & PLANT HIRE;333874802;deepson@telkomsa.net;
SAFINTRA NELSPRUIT;861723755;info@safintra.co.za;
BENRAY TOOL WHOLESALERS (PTY) LTD;315795759;zain@benray.co.za;
WATERPROOFING SPECIALIST;415814296;jwewege@mweb.co.za;
NJR STEEL REINFORCING (PTY) LTD;114629862;rebar@njrsteel.co.za;
AFFIRMATIVE PORTFOLIOS;333943539;customerservice@affirm.co.za;
CHEMROTECH POWER INDUSTRIES;184691383;chemrotech@mweb.co.za;
INGERSOLL RAND CO SA (PTY) LTD;860247000;info_sa@irco.co.za;
RACING HART CONCEPTS (PTY) LTD;118321174;info@rhc.co.za;
TALISMAN HIRE;272131358;vredendal@talisman.co.za;
D M V CONSULTANTS;586222676;admin@dmvconsultants.co.za;
QUICK PLUMBERS ON CALL;118928006;quickplumbersoncall@yahoo.co.za;
BMA ELECTRICAL SERVICES;118279393;jannitaw@worldonline.co.za;
STANDERTON DELTA;177192156;info@eastvaalmotors.co.za;
DOKUGESI ELECTRICAL CC;132438191;admin@dokugesi.co.za;
S M V CIVIL ENGINEERS;183811138;adolphus@smv.co.za;
MELSANE CONSTRUCTION;417751673;;
MBINAZO CONSTRUCTION CC;132961260;;
DI-LINK STRUCTURAL CONCRETE CC;217886605;;
RAUBEX (PTY) LTD;126653226;info@raubex.com;
SPIRE CONSTRUCTION;137449327;;
KERBING CONSULTANTS;129408685;;
BAYETE INSTRUMENTATION;828575306;;
VOIDCON DECKING SYSTEMS;827897443;;
DEEBO CONSTRUCTION & PROJECTS (PTY) LTD;317017254;;
MZILANKATHA AMANDLA CONSTRUCTION;764036622;sibongile@mzilankatha.co.za;
POLYMER PAVEMENTS CC;118681181;jessie@polyroads.com;
HALIFAX ENGINEERING;118242931;belaraul@telkomsa.net;
TOLCON GROUP (PTY) LTD;114539422;info@tolcon.co.za;
RAKASTEEL;731919733;Info@rakasteel.co.za;
G F LOUW ENGINEERING;116096109;richard@gflouw.co.za;
VTT MAINTENANCE BUILDING & CONSTRUCTION;768195172;ndovi75@yahoo.com;
WEIDEMAN ENGINEERING;219394142;weidemaneng@telkomsa.net;
BA-AGI PROJECT & COMMUNITY DEVELOPMENT ASSOCIATION;119874914;ba-agi.project@mweb.co.za;
LOMOTEK POLYMERS;215975905;info@lomotek.co.za;
SGT PEPPER;214245608;longstreet@sgtp.co.za;
ANTHONY'S MAINTENANCE SERVICE;827041219;chantalmarx@gmail.com;
THULEMA CONSTRUCTION;152911739;thulema@vodamail.co.za;
CAZANI CONSTRUCTION CC;152925476;cazanicc@lantic.net;
ZORHA KHAN DEVELOPERS;152931999;admin@zkdevelopers;
TECHSO (PTY) LTD;128440306;mmkhize@bsmmdesign.com;
ROAD MAINTENANCE SLURRY SEAL CC;112640841;info@roadcontructionplant.com;
FERREIRA BROS;114931117;;
INDUSTRONIC ENGINEERING & SUPPLIES;169313068;tanjerv@industronic.co.za;
AGATTU TRADING (PTY) LTD;747280830;agattutrading246@gmail.com;
MAGCLE (PTY) LTD;763514357;oarik05@nokiamail.com;
CMP CIVILS;182932338;info@cmpcivils.co.za;
EMA KA MAOTO CONSTRUCTION & TRADING;538398158;nmaku479@gmail.com;
ZULU CIVILS & EARTHWORKS;128112211;roland@zuluearth.co.za;
KHUKHWANE CONSTRUCTION & PROJECTS;122620175;rangerkhukhwane@webmail.co.za;
BRAIN WAVE PROJECTS 1833;215934849;0834102554@mtnloaded.co.za;
BUSHBURGER ELECTRICAL & CONSTRUCTION;848625221;msbushburger@gmail.com;
B E C CONSTRUCTION CC;153071144;bec.tzn@mweb.co.za;
MBV GROUP;437211609;ecb@mbvgroup.co.za;
AXION INVEST;113931140;axioninvest@mweb.co.za;
ERIC STEELWORKS;112610357;msipha94@gmail.com;
COLORITE CONTRACTORS;118698375;admin@colorite-contractors.co.za;
PROLEC ELECTRICAL;217060214;;
SUPREME CONSTRUCTION & MAINTENANCE;846611594;supremeconstruction@eject.co.za;
LEBO OFENTSE TRADING PROJECTS;116802857;dorothy.mokgadi@vodamail.co.za;
LAZAR CIVIL ENGINEERING;219054900;info@lazar.co.za;
THEMERDEC THATCHING;110470094;dregwell@yahoo.com;
NEW AFRICA DEVELOPMENTS (PTY) LTD;126623411;info@nad.bz;
PHUMELELA CIVIL WORKS & ALUMINIUM CC;114939687;phumelelacivil@gmail.com;
IMMORIAL BUILDING CONSTRUCTION;155184005;nemafhohonisi@webmail.co.za;
FLYNN GOODWIN PLUMBING (PTY) LTD;217156294;fgoodwin@mweb.co.za;
GROENEWEG FRANS CONSTRUCTION & CIVILS CC;233422090;joycelyng@mweb.co.za;
L G GREEN CC;317058845;sales@lggreen.co.za;
DEEP SOUTH STAINLESS STEEL FABRICATION (PTY) LTD;217128998;reception100@dsssf.co.za;
ELEKTRIES VERKOELING SEKURITEIT;725554433;awie.evs@vodamail.co.za;
ESSEE PLASTICS CC;145655166;info@esseeplastic.co.za;
DITIRO-TSAKA TRADING & PROJECTS;123231704;dbongani@mweb.co.za;
GIB AND ELTON TRADING AND PROJECTS;734384815;gibson.motlhatlhana@gmail.com;
AZTEC ROAD SERVICES (PTY) LTD;860333863;mashudu@aztecroad.co.za;
SUPER-A SPAR (NORWOOD);114831229;intcontact.us@spar.co.za;
RAYCON (PTY) LTD;114654547;raycon@absamail.co.za;
P C F ENGINEERING;219332508;jan@pcfengineering.co.za;
CCS;118883614;coswic@mweb.co.za;
JACOBS MAPASIS;215529993;meagan.meyer@jacobs.com;
PROCRETE READY MIXED CONCRETE;514321001;info@procrete.org;
V F MUNISI CIVILS (PTY) LTD;117623754;;
EXTRA NEAT PAINTERS;710172381;raynissypainters@gmail.com;
TORO YA AFRICA;145927167;rustenburg@toroyaafrica.com;
LAVENDER MOON;215349631;rylandsali@gmail.com;
SONJA NEITZ ARCHITECTS CC;126650937;snapp@icon.co.za;
CHILWANE PLUMBING SOLUTIONS;739830811;;
KOAB4UINTERCONNECTION TRADING AND PROJECTS;110402619;;
TEBOGO & SKHONGO CLEANING SERVICES & PROJECTS (PTY) LTD;711353449;;
MEYECON BUILDERS;213964090;;
JDR RENOVATIONS;716108563;jan.myburgh1977@gmail.com;
CHRISTOPHER BEZUIDENHOUT SURVEYS GPS & LAND SURVEYS;227153059;chrisbsurveys@gmail.com;
TRIPLE DESIRE CONSTRUCTION;218802794;jeffrey@tripledesireprojects.co.za;
KRL PROPERTIES (PTY) LTD;215525866;info@krlproperties.co.za;
VAST SURE SERVICES (PTY) LTD;446910029;marius.vastsureservice@gmail.com;
TOP NOTCH;317057112;psgwala@topnotchccsa.com;
TECHNICAL FINISHES (PTY) LTD;118227242;alan@technicalfinishes.com;
AREND KONSTRUKSIE;287221339;;
PUR?N JEREMY BOUERS;828722801;admin@purenbouers.co.za;
M A KHARAFI CONSTRUCTION (PTY) LTD;123425213;wafaa@kharafi.co.za;
JOHTHIMA;861112006;;
RO AL CONSTRUCTTION (PTY) LTD;215526615;;
SIYAKHANYA ELECTRICAL;458396361;;
FELA BUILDING CONSTRUCTION;781747500;felaunity@gmail.com;
PAINTED DOOR DESIGN CO;216831527;alison@thepainteddoor.co.za;
ZAMOKUHLE DEVELOPMENT CONSULTANTS;313097464;mkhizebs22@gmail.com;
JAMANZI ELECTRICAL;132459035;jamanzi@worldonline.co.za;
VNS CONSTRUCTION;213674686;vuyo.mavityo@gmail.com;
TWIN CONNER CONSTRUCTION & PROJECTS 11;127516458;gunguwash@gmail.com;
COASTAL HIRE (PALABORWA);157930971;hoedspruit@coastalhire.co.za;
AMS CIVILS;219530060;ash8006@gmail.com;
BADIMO P CONSTRUCTION;113945679;abadimo@telkomsa.net;
SIZABANTU ROAD SERVICES;315021345;;
MOLA WA GODIMO CC;799022791;;
O'SHEA;333454569;;
VSA CIVIL ENGINEERING PROJECTS;119073215;vanstraten@worldonline.co.za;
SPACE CONSTRUCTION (PTY) LTD;178469614;;
THERMSCAFF CONSTRUCTION CC;145331733;;
PHUMELELA;127973901;;
F PISTORUIS CONSTRUCTION HYDRAULICS;164211463;;
JAWET CONSTRUCTION CC;357512061;;
GIVE AWAY WORKSHOP CC;114935714;;
NHLENGANI CONSULTING (PTY) LTD;573574619;;
J & M CONSTRUCTION;825671267;;
H C INTERNATIONAL (PTY) LTD;110538914;;
INNOVATIVE RENOVATOR;110366370;;
HOUSE & HOME PROJECTS & HARDWARE SUPPLIES;119725865;;
COOL IDEAS CONSTRUCTION CC;114745483;;
ARCHIEVEMEND CONSTRUCTION;110248963;;
EQUESTRA EQUIPMENT;317166377;gbenvie@nhconstruction.co.za;
UBAMBANO CONSTRUCTION CC;357974195;ubambano@zcbf.org.za;
ENLO CONSTRUCTION EQUIPMENT;827154231;ednalouis01@gmail.com;
ADAPA CONSTRUCTION PROJECTS;115042005;mikenqcobo77@gmail.com;
FRANSCHOEK HIRING & SERVICING;218764123;onhireo@gmail.com;
MENDALF CONSTRUCTION;724230491;mendalf@telkomsa.net;
DESIGNS & CONSTRUCTION BY RON;827228722;caddms@iafrica.com;
MALANI PADAYACHEE & ASSOCIATES (PTY) LTD;117819710;belinda@mpaconsulting.co.za;
EXPO SOLUTIONS;215105871;lynne@exposolutions.co.za;
SALES HIRE (PAARL);218626731;manie@saleshire.co.za;
PG GLASS (OUDTSHOORN);442792829;smartglassinfo@pg.co.za;
ISIDUBEDUBE ALUMINIUM BUILDING & MAINTENANCE;735888262;isidubedube@vodamail.co.za;
RAYDEN ENGINEERING;113425523;info@raydenengineering.com;
GIB AND ELTON TRADING AND PROJECTS;734384815;gibson.motlhatlhana@gmail.com;
AZTEC ROAD SERVICES (PTY) LTD;860333863;mashudu@aztecroad.co.za;
GRINDING POWER (PTY) LTD;113976654;sales@grindingpower.co.za;
NOMAXHOSA CONSTRUCTION;413642975;trevor@nomaxhosa.co.za;
ROAD & DRIVEWAY CONSTRUCTION;333910256;;
YAHWEN CONSTRUCTION;213700016;carmen.januarie@gmail.com;
J I C MINING SERVICES;115649400;general@jic.co.za;
TOP NOTCH;317057112;psgwala@topnotchccsa.com;
TECHNICAL FINISHES (PTY) LTD;118227242;alan@technicalfinishes.com;
ZAMA DUNGA BUSINESS ENTERPRISE CC;317015430;info@zamadunga.co.za;
D L V ENGINEERS & PROJECT MANAGERS (PTY) LTD;349807242;info@dlveng.co.za;
CEILING PARTITIONING DYNAMICS CC;215516706;info@cpdholdings.co.za;
FIBRESTRUC;128043442;fstruc@mweb.co.za;
AFFORDABLE PLUMBERS;741161406;;
DEMIX;118495705;amanzi.inyathi@gmail.co.za;
AUDIO STEEL & ENGINEERING;154915338;;
S O S STEEL & PIPE;118173896;;
BARLOWS HANDLING (PTY) LTD;357974903;;
TRANSTEL;546510550;;
MATSWALO CONSTRUCTION AND PROJECT;115447926;;
ECO FLEX CC;163655336;;
C PRETORIOUS CONSTRUCTIONS CC;116648800;;
SPACE CONSTRUCTION (PTY) LTD;178469614;;
IKAYA MANAGEMENT;823205004;burni@ikaya.co.za;
M C M CONSTRUCTION (PTY) LTD;315692381;mcmconstruction@telkomsa.net;
GOLDFIELDS RAIL CC;825537146;;
STUMPKOR INDUSTRIAL SUPPLIES CC;128034984;;
FOUR S HYDRAUMATIC SERVICES CC;317006916;;
D & T CONSTRUCTION (PTY) LTD;110396184;;
MITCHELL MCALLISTER OFFICE DESIGN;114658002;;
MSINGI PROJECTS (PTY) LTD;214180460;;
TECHNI STEEL ENGINEERING;329444792;;
F PISTORUIS CONSTRUCTION HYDRAULICS;164211463;;
JAWET CONSTRUCTION CC;357512061;;
GIVE AWAY WORKSHOP CC;114935714;;
NHLENGANI CONSULTING (PTY) LTD;573574619;;
J & M CONSTRUCTION;825671267;;
H C INTERNATIONAL (PTY) LTD;110538914;;
INNOVATIVE RENOVATOR;110366370;;
HOUSE & HOME PROJECTS & HARDWARE SUPPLIES;119725865;;
COOL IDEAS CONSTRUCTION CC;114745483;;
ARCHIEVEMEND CONSTRUCTION;110248963;;
EQUESTRA EQUIPMENT;317166377;gbenvie@nhconstruction.co.za;
UBAMBANO CONSTRUCTION CC;357974195;ubambano@zcbf.org.za;
ENLO CONSTRUCTION EQUIPMENT;827154231;ednalouis01@gmail.com;
ADAPA CONSTRUCTION PROJECTS;115042005;mikenqcobo77@gmail.com;
PNEUMATIC & PETROL TOOL CENTRE;117087170;gavin@pptc.co.za;
YELLOW FLAME PROPERTIES 102 (PTY) LTD;118493582;yellowflame@mweb.co.za;
LEMY GOLDEN HANDS;716499244;mroundrick@yahoo.com;
MAC'S TOOL HIRE;213915077;macstoolhire@telkomsa.net;
J B CONSTRUCTION;710751120;none@none.com;
NGWABI CONSTRUCTION & PROJECTS;114330748;;
FELIPA CONSTRUCTION & TRADING CC;114939750;;
HARMSE CONSTRUCTIONS;730673462;;
STAGE 2000;832821714;;
MATCORP CONSTRUCTION CC;837771100;;
PROP 5 CORP (PTY) LTD;114634537;;
ASIZABANTLE TRADING;119064546;ian@asizabantu.co.za;
LAFARGE INDUSTRIES SA (PTY) LTD;448781578;;
MLOKOTHWA CONSTUCTION & MANAGEMENT SERVICES CC;119797135;;
KENTZ (PTY) LTD;112039600;contactmidrand@kentz.com;
UMBUSA CIVILS & CONSTRUCTION;217618035;info@umbusa.co.za;
MAWELE ENGENEERING;118454032;;
MAPUTLAMAN CONSTRUCTION;123262341;;
VUNDLANE MINING & GENERAL CONSTRUCTION CC;136926461;;
D S PLANT HIRE;315777826;;
SOUTHERN AMBITIONS 615 CC;732295944;;
DEVINE CONSTRUCTION;132441473;;
NORVAL WENTZEL STEINBERG;118046122;info@nws.co.za;
BURGH CONSTRUCTION;218720559;burghcons@gmail.com;
R J C CONSTRUCTION;538314492;info@rjc.co.za;
NIK CONSTRUCTION;315665774;info@niksteel.co.za;
LIYAPHILA TRADING ENTERPRISE CC;732121412;;
TEREX PORT EQUIPMENT (PTY) LTD;215341456;;
W J HOUTWERKE;224331720;;
JOTA CONSTRUCTION CC;514484200;0514303382@efg.co.za;
BELIZE CONSTRUCTION (PTY) LTD;538410615;;
B D J W BUILDING & PLUMBING SERVICE;313327047;;
CLEARSPAN PROJECTS CC;118232402;;
ACTIVE EQUIPMENT CC;573533284;;
MODL PLUMBERS;832641377;garth@modlplumbers.co.za;
PRIMA TOYS;218182000;info@primatoys.co.za;
BIGSKY PRODUCTIONS;214232144;rowan@bigskyprod.com;
LUNGY LUNGA TRADING (PTY) LTD;315182044;lungelo49@outlook.com;
PAVE MASTER;843973985;makplantarring@gmail.com;
M C M CONSTRUCTION (PTY) LTD;315692381;mcmconstruction@telkomsa.net;
GOLDFIELDS RAIL CC;825537146;;
STUMPKOR INDUSTRIAL SUPPLIES CC;128034984;;
FOUR S HYDRAUMATIC SERVICES CC;317006916;;
D & T CONSTRUCTION (PTY) LTD;110396184;;
MITCHELL MCALLISTER OFFICE DESIGN;114658002;;
MSINGI PROJECTS (PTY) LTD;214180460;;
TECHNI STEEL ENGINEERING;329444792;;
POWER CONSTRUCTION;213962154;;
SIVEST (SA) (PTY) LTD;357892066;info@sivest.co.za;
BALLENA EVENT AND CATERING SERVICES;116804945;desmond@ballena.net;
J C I SERVICE;215513012;info@johnsoncontrols.com;
SHERRIFF TA & SON;283122424;sherriff@hermanus.co.za;
FACTCON BUILDING CONTRACTORS;824616591;francois@factcon.co.za;
VEP LANDSCAPERS;110783653;jhb@veplandscapers.co.za;
HOPEFUL PLUMBERS;127721062;info@hopefulplumber.co.za;
SILVERTON WROUGHT IRON PROJECTS;835760751;silvertonwroughtiron@gmail.com;
BEST LANDSCAPERS JOHANNESBURG;875510843;;
MASSLITE ROOFING SOLUTIONS CC;414530468;;
STONES AND STONES;118375156;info@stonesandstones.co.za;
PAUL PIETERSBURG ENGINEERING WORKS CC;349951119;info@paulenginnering.co.za;
IKANDO CONSTRUCTION;123770373;ikandoc@gmail.com;
SMART ROOF CC;61402980;diasaf@afol.com.na;
COASTAL HIRE KATHU;537232644;coastalkuruman@telkomsa.net;
LBC LENCO CONSTRUCTION;114695196;tjaart@lbclenco.co.za;
CEILSPRAY PTY LTD;219819010;info@ceilspray.co.za;
DAYTA TRUCKING;847562000;dytratrucking@telkomsa.net;
CIS ENGINEERING;169861135;admin@cisengineering.co.za;
MORDEN STEEL CONSTRUCTION;764726894;mordenqsteel@gmail.com;
COMPLETE WATERPROOFING ROOFING AND PAINTING;117042401;admin@completewrp.co.za;
ALS RENTALS WESTERN CAPE;823050499;info@alsgroup.co.za;
OKIRAND CONSTRUCTION;114658599;;
ACCURATE CONSTRUCTION CC;413655298;;
COASTAL HIRE DURBAN SOUTH;312017705;jaco@coastalhire.co.za;
USIZO PROJECTS AND MAINTENANCE SERVCES CC;357512669;usizop@telkomsa.net;
GOD AND US SPECIAL SERVICES (PTY) LTD;735148577;info@gussconstruction.com;
R P CONSTRUCTION;169711125;rpkonstruksie@telkomsa.net;
SAMBRO CIVIL AND CONSTRUCTION (PTY) LTD;118495523;info@sambrocc.co.za;
GAMOUNT HOUSING SA PTY LTD;164215082;wami@gamont.co.za;
YELLOWSTAR MINING;355721045;info@yellowstarmining.co.za;
P D HOMES;217823889;pdhomes@mweb.co.za;
UNIKEM ADHESIVES CC;317004859;mike@unikem.co.za;
GL GENERAL TRADERS;828786533;glgeneraltraders@gmail.com;
GENERAL PNEUMATICS;119733145;;
KEVIN WOLFFE PLUMBING;824445925;;
JUNK SHOPPING CENTRE;344131900;;
LENONG GENERAL ROAD AND MAINTENANCE;118384867;;
THE RECRUITMENT AGENCY SOUTH AFRICA;732354096;info@recruitment-agency-south-africa.business.site;
QLIC.PHOTOGRAPHY;765934236;info@qlicphotographyplk.weebly.com;
LUYANDAH TRADING ENTERPRISE (PTY) LTD;731869811;info@luyandahtradingenterprise.co.za;
CONTRACTA;720520772;info@contracta.co.za;
BRING TO LIFE EVENTS;790277810;info@bringtolifeevents.co.za;
THE REFURB WAREHOUSE;721195760;rehan@refurbwarehouse.co.za;
WHSE CONSULTANTS CC;314590380;finance@whse.co.za;
MARYSE BUILDING TRADING;217972821;lukojieddi@hotmail.com;
ROOF AND CARPORT MARKET;448730508;roofgeorge@duroplastic.com;
MASCO BUILDING SUPPLIES (PTY) LTD;119763118;sales@alphabuilders.co.za;
NJR STEEL GLENCOE (PTY) LTD;343931146;information@njrsteel.co.za;
R H I REFRACTORIES AFRICA (PTY) LTD;114447500;africa@rhiag.com;
CIVIL AND STRUCTURAL ENGINEERS (PTY) LTD KIMBERLEY;538321146;snakimb@mweb.co.za;
GERMAN PLACEMENT SPECIALISTS;214240910;info@akarecruitmentint.com;
AFCOM;414512233;info@bidvestafcom.co.za;
MOLENAAR HG AND CO (PTY) LTD;115780940;hgmjhb@hgmolenaar.com;
TOPTURF;114571700;info@topturf.co.za;
DIHLASE CONSULTING ENGINEERS SOUTHERN NATAL;393150781;bhayat@dihlase.co.za;
CAPE REED INTERNATIONAL;219137466;lorey@lmcdubai.com;
VELOCITY;114935202;charl@velocityconstruction.co.za;
RAWSON PROPERTIES;116750858;riana.mynhardt@rawson.co.za;
BLUE CUBE CONSTUCTION;832861723;warren@blueconstruction.co.za;
MOVING FORWARD TRADING AND PROJECTS;125460418;info@movingforward226.co.za;
STUDIO 2 CONSTRUCTION PROJECTS - PTY LTD;169323103;info@studio2constructionprojects.co.za;
JOLUKA PTY LTD;113140795;sales@joluka.co.za;
RAINBOW CONSTRUCTION CAPE;217618628;info@rics.co.za;
JODAN CONSTRUCTION;126660900;info@jodangroup.co.za;
LINCOLN CONSTRUCTIONS;827740934;hello@lincolnconstruction.co.za;
EDWIN CONSTRUCTION;115247000;edwininfo@edwin.co.za;
GAUTRUSS;118642873;info@gautruss.co.za;
MAUNGA PROJECTS CC;118648290;;
